GroupID,TransectLength_ft,BeadColor,Distance_in
"KW, MU, AM, CC",40,Clear,27
"KW, MU, AM, CC",40,Clear,22
"KW, MU, AM, CC",40,Clear,22
"KW, MU, AM, CC",40,Clear,7.5
"KW, MU, AM, CC",40,Clear,19
"KW, MU, AM, CC",40,Green,11
"KW, MU, AM, CC",40,Green,16.5
"KW, MU, AM, CC",40,Green,3.5
"KW, MU, AM, CC",40,Green,7.5
"KW, MU, AM, CC",40,Green,40
"CF, LB, MT",40,Green,81
"CF, LB, MT",40,Green,45
"CF, LB, MT",40,Green,43
"CF, LB, MT",40,Green,52
"CF, LB, MT",40,Green,41
"CF, LB, MT",40,Green,48
"CF, LB, MT",40,Green,18
"CF, LB, MT",40,Green,76
"CF, LB, MT",40,Green,81
"CF, LB, MT",40,Green,74
"CF, LB, MT",40,Green,42
"CF, LB, MT",40,Green,49
"CF, LB, MT",40,Green,22.5
"CF, LB, MT",40,Green,31.5
"CF, LB, MT",40,Green,38.5
"CF, LB, MT",40,Green,53
"CF, LB, MT",40,Clear,82
"CF, LB, MT",40,Clear,117
"CF, LB, MT",40,Clear,36
"CF, LB, MT",40,Clear,91
"CF, LB, MT",40,Clear,64
"CF, LB, MT",40,Clear,71
"CF, LB, MT",40,Clear,21
"CF, LB, MT",40,Clear,16
"CF, LB, MT",40,Clear,53
"CF, LB, MT",40,Clear,20
"CF, LB, MT",40,Clear,15
"CF, LB, MT",40,Clear,21.5
"CF, LB, MT",40,Clear,20
"CF, LB, MT",40,Clear,48
"CF, LB, MT",40,Clear,63
"CF, LB, MT",40,Clear,47
"CF, LB, MT",40,Clear,116
2,40,Clear,61
2,40,Clear,50.5
2,40,Clear,32.5
2,40,Clear,29
2,40,Green,5
2,40,Green,45
2,40,Green,4
2,40,Green,10
2,40,Green,48.5
2,40,Green,4
2,40,Green,21
2,40,Green,40
2,40,Green,31
"LM, JO, MM",40,Clear,21
"LM, JO, MM",40,Clear,41
"LM, JO, MM",40,Clear,91
"LM, JO, MM",40,Clear,59
"LM, JO, MM",40,Green,61
"LM, JO, MM",40,Green,78
"LM, JO, MM",40,Green,106.5
"LM, JO, MM",40,Green,11.5
"LM, JO, MM",40,Green,14
"LM, JO, MM",40,Green,16
"LM, JO, MM",40,Green,39
"LM, JO, MM",40,Green,53.5
9,40,Green,36.5
9,40,Green,16
9,40,Green,10.5
9,40,Green,41
9,40,Green,11
9,40,Green,3
9,40,Green,62
9,40,Green,40.5
9,40,Green,52
9,40,Green,58
9,40,Clear,12
9,40,Clear,6.5
9,40,Clear,39.5
9,40,Clear,19
9,40,Clear,67
9,40,Clear,9
9,40,Clear,11.5
"IT,JC, TR",40,Green,58
"IT,JC, TR",40,Green,68
"IT,JC, TR",40,Green,49
"IT,JC, TR",40,Green,37
"IT,JC, TR",40,Green,43
"IT,JC, TR",40,Green,58
"IT,JC, TR",40,Green,39
"IT,JC, TR",40,Green,41
"IT,JC, TR",40,Green,51
"IT,JC, TR",40,Green,42
"IT,JC, TR",40,Green,47
"IT,JC, TR",40,Green,23
"IT,JC, TR",40,Green,33
"IT,JC, TR",40,Clear,21
"IT,JC, TR",40,Clear,38
"IT,JC, TR",40,Clear,30
"IT,JC, TR",40,Clear,33.5
"IT,JC, TR",40,Clear,37.5
"AH, CB, DB",40,Green,37
"AH, CB, DB",40,Green,16
"AH, CB, DB",40,Green,20
"AH, CB, DB",40,Green,56
"AH, CB, DB",40,Green,10
"AH, CB, DB",40,Green,16
"AH, CB, DB",40,Green,12
"AH, CB, DB",40,Green,45
"AH, CB, DB",40,Green,3
"AH, CB, DB",40,Green,8
"AH, CB, DB",40,Green,60
"AH, CB, DB",40,Green,41
"AH, CB, DB",40,Clear,41
"CG, AE, JK",40,Green,5
"CG, AE, JK",40,Green,18
"CG, AE, JK",40,Green,42
"CG, AE, JK",40,Green,4.5
"CG, AE, JK",40,Green,60.5
"CG, AE, JK",40,Green,9
"CG, AE, JK",40,Green,12.5
"CG, AE, JK",40,Green,47.5
"CG, AE, JK",40,Green,5
"CG, AE, JK",40,Green,3.5
"CG, AE, JK",40,Green,52
"CG, AE, JK",40,Green,30
"CG, AE, JK",40,Green,12.5
"CG, AE, JK",40,Green,1
"CG, AE, JK",40,Green,20
"CG, AE, JK",40,Green,24.5
"CG, AE, JK",40,Clear,16.5
"CG, AE, JK",40,Clear,32
"CG, AE, JK",40,Clear,61
"CG, AE, JK",40,Clear,26
"CG, AE, JK",40,Clear,4.5
"CG, AE, JK",40,Clear,29
"VI, NP, DB",40,Clear,32
"VI, NP, DB",40,Green,1.5
"VI, NP, DB",40,Green,4.5
"VI, NP, DB",40,Green,9
"VI, NP, DB",40,Green,4.5
"VI, NP, DB",40,Green,3.5
"VI, NP, DB",40,Green,1
"MS, NR, SMH",40,Clear,63
"MS, NR, SMH",40,Clear,21.5
"MS, NR, SMH",40,Clear,10
"MS, NR, SMH",40,Clear,19.5
"MS, NR, SMH",40,Clear,16
"MS, NR, SMH",40,Clear,47.5
"MS, NR, SMH",40,Clear,63
"MS, NR, SMH",40,Clear,82
"MS, NR, SMH",40,Clear,47
"MS, NR, SMH",40,Clear,54
"MS, NR, SMH",40,Green,46
"MS, NR, SMH",40,Green,56
"MS, NR, SMH",40,Green,48
"MS, NR, SMH",40,Green,90
"MS, NR, SMH",40,Green,48
"MS, NR, SMH",40,Green,18.5
"MS, NR, SMH",40,Green,57
"MS, NR, SMH",40,Green,84
"MS, NR, SMH",40,Green,78
"MS, NR, SMH",40,Green,39
"MS, NR, SMH",40,Green,40
"MS, NR, SMH",40,Green,49.5
"MS, NR, SMH",40,Green,44
"MS, NR, SMH",40,Green,48
"MS, NR, SMH",40,Green,23
"MS, NR, SMH",40,Green,32
"MS, NR, SMH",40,Green,52.5