group,length,distance
"LB, AK",45,0
"LB, AK",45,0.4
"LB, AK",45,1.1
"LB, AK",45,0.2
"LB, AK",45,1.6
"LB, AK",45,4.1
"LB, AK",45,2.2
"LB, AK",45,0.1
"LB, AK",45,1
"LB, AK",45,1.8
"LB, AK",45,2.2
"LB, AK",45,2.5
"LB, AK",45,0
"LB, AK",45,0.8
"LB, AK",45,1.5
"LB, AK",45,0
"LB, AK",45,1.2
"LB, AK",45,0
"LB, AK",45,2.5
"LB, AK",45,2.6
"LB, AK",45,1.9
"LB, AK",45,3.4
"LB, AK",45,3.8
"LB, AK",45,5.3
"LB, AK",45,1.9
"LB, AK",45,3.9
"LB, AK",45,3.5
"LB, AK",45,0
"LB, AK",45,1.2
"LB, AK",45,3.6
"LB, AK",45,4.7
"LB, AK",45,6.3
"LB, AK",45,4.7
"LB, AK",45,0
"LB, AK",45,3.1
"LB, AK",45,3
"LB, AK",45,1.3
"LB, AK",45,0.5
"LB, AK",45,1.4
"LB, AK",45,2.7
"LB, AK",45,3.4
"LB, AK",45,5.1
"LB, AK",45,3.2
"LB, AK",45,6.3
"LB, AK",45,0.7
"LB, AK",45,2.9
"LB, AK",45,1.1
"LB, AK",45,0.9
"LB, AK",45,1.2
"LB, AK",45,2.3
"JF, MP",45,0.4
"JF, MP",45,0.5
"JF, MP",45,0.2
"JF, MP",45,0.4
"JF, MP",45,1.2
"JF, MP",45,0.7
"JF, MP",45,1.5
"JF, MP",45,0.5
"JF, MP",45,0.6
"JF, MP",45,0.5
"JF, MP",45,0.1
"JF, MP",45,1
"JF, MP",45,1.3
"JF, MP",45,3.3
"JF, MP",45,3.4
"JF, MP",45,4.3
"JF, MP",45,2
"JF, MP",45,2.6
"JF, MP",45,1.9
"JF, MP",45,3.3
"JF, MP",45,3.3
"JF, MP",45,0.4
"JF, MP",45,1.5
"JF, MP",45,3.7
"JF, MP",45,2.9
"JF, MP",45,2.5
"JF, MP",45,1.7
"JF, MP",45,5.6
"JF, MP",45,2.9
"JF, MP",45,0.7
"JF, MP",45,2.7
"JF, MP",45,2.6
"JF, MP",45,1.6
"JF, MP",45,3.9
"JF, MP",45,0.2
"JF, MP",45,5.8
"JF, MP",45,0.4
"JF, MP",45,2.4
"JF, MP",45,3.7
"JF, MP",45,2.5
"JF, MP",45,0.7
"JF, MP",45,3.1
"JF, MP",45,0.1
"JF, MP",45,3.4
"JF, MP",45,4.1
"JF, MP",45,1.3
"JF, MP",45,0.5
"JF, MP",45,2.1
"JF, MP",45,2.6
"RB, NK",45,1.7
"RB, NK",45,0
"RB, NK",45,0.7
"RB, NK",45,1.6
"RB, NK",45,1.3
"RB, NK",45,0.2
"RB, NK",45,0.3
"RB, NK",45,1.15
"RB, NK",45,1.8
"RB, NK",45,0.75
"RB, NK",45,1.3
"RB, NK",45,0.55
"RB, NK",45,3.9
"RB, NK",45,3.75
"RB, NK",45,1.5
"RB, NK",45,0.3
"RB, NK",45,0.3
"RB, NK",45,3.6
"RB, NK",45,4.1
"RB, NK",45,2.4
"RB, NK",45,0.6
"RB, NK",45,2.3
"RB, NK",45,2.2
"RB, NK",45,0.3
"RB, NK",45,2.9
"RB, NK",45,1.4
"RB, NK",45,0.1
"RB, NK",45,0.6
"RB, NK",45,1
"RB, NK",45,1.9
"RB, NK",45,2.8
"RB, NK",45,1.3
"RB, NK",45,1.6
"RB, NK",45,0.5
"RB, NK",45,0.7
"RB, NK",45,1.7
"RB, NK",45,0.4
"RB, NK",45,3.2
"RB, NK",45,0.5
"AH, AK",45,2.1
"AH, AK",45,1.7
"AH, AK",45,0
"AH, AK",45,1.7
"AH, AK",45,1.8
"AH, AK",45,0.3
"AH, AK",45,1.75
"AH, AK",45,1.1
"AH, AK",45,0.8
"AH, AK",45,0
"AH, AK",45,0.4
"AH, AK",45,0.8
"AH, AK",45,0.8
"AH, AK",45,1.9
"AH, AK",45,0
"AH, AK",45,1.4
"AH, AK",45,3.1
"AH, AK",45,4.6
"AH, AK",45,0
"AH, AK",45,0.5
"AH, AK",45,0
"AH, AK",45,3.2
"AH, AK",45,4
"AH, AK",45,0.8
"AH, AK",45,1.5
"AH, AK",45,1.1
"AH, AK",45,0.3
"AH, AK",45,5.4
"AH, AK",45,3.35
"AH, AK",45,3.75
"AH, AK",45,2.5
"AH, AK",45,2.6
"AH, AK",45,1.9
"AH, AK",45,0.2
"AH, AK",45,2.6
"AH, AK",45,1.2
"AH, AK",45,2
"AH, AK",45,1.85
"AH, AK",45,0.7
"AH, AK",45,2.25
"AH, AK",45,0
"NS, JS",45,2.1
"NS, JS",45,1
"NS, JS",45,1.7
"NS, JS",45,4.5
"NS, JS",45,5.1
"NS, JS",45,1.7
"NS, JS",45,3.8
"NS, JS",45,3.9
"NS, JS",45,0.4
"NS, JS",45,1.3
"NS, JS",45,4.1
"NS, JS",45,0.7
"NS, JS",45,4.9
"NS, JS",45,3.3
"NS, JS",45,5.1
"NS, JS",45,0
"NS, JS",45,3
"NS, JS",45,0
"NS, JS",45,3
"NS, JS",45,3.1
"NS, JS",45,3.4
"NS, JS",45,1.8
"NS, JS",45,0.9
"NS, JS",45,0.6
"NS, JS",45,2.8
"NS, JS",45,1.4
"NS, JS",45,3.5
"NS, JS",45,0.6
"NS, JS",45,0.3
"NS, JS",45,2.6
"NS, JS",45,2.9
"NS, JS",45,0.6
"NS, JS",45,0
"AW, EI",45,1.45
"AW, EI",45,1.6
"AW, EI",45,1.35
"AW, EI",45,1.85
"AW, EI",45,1.45
"AW, EI",45,1.95
"AW, EI",45,1
"AW, EI",45,1.4
"AW, EI",45,1.28
"AW, EI",45,1.83
"AW, EI",45,2.2
"AW, EI",45,1.55
"AW, EI",45,0.75
"AW, EI",45,1.4
"AW, EI",45,0.17
"AW, EI",45,0.82
"AW, EI",45,1.1
"AW, EI",45,1.2
"AW, EI",45,1.6
"AW, EI",45,0.23
"AW, EI",45,1.65
"AW, EI",45,0.78
"NK, EO",45,1
"NK, EO",45,1.6
"NK, EO",45,0
"NK, EO",45,0.6
"NK, EO",45,0.9
"NK, EO",45,1.7
"NK, EO",45,0.5
"NK, EO",45,1.3
"NK, EO",45,2.6
"NK, EO",45,0.1
"NK, EO",45,1.3
"NK, EO",45,0
"NK, EO",45,1.7
"NK, EO",45,2.9
"NK, EO",45,3.4
"NK, EO",45,4.7
"NK, EO",45,2.8
"NK, EO",45,3.9
"NK, EO",45,0.4
"NK, EO",45,2.6
"NK, EO",45,1
"NK, EO",45,1.9
"NK, EO",45,3
"NK, EO",45,4.4
"NK, EO",45,1.7
"NK, EO",45,1
"NK, EO",45,2
"NK, EO",45,0
"NK, EO",45,2
"NK, EO",45,1.4
"NK, EO",45,2.9
"NK, EO",45,3.4
"NK, EO",45,6
"NK, EO",45,4.5
"NK, EO",45,0.4
"NK, EO",45,0.9
"NK, EO",45,1.6
"NK, EO",45,1.9
"NK, EO",45,3.2
"NK, EO",45,4.1
"NK, EO",45,1.1
"NK, EO",45,3.1
"NK, EO",45,4.8
"NK, EO",45,5.9
"NK, EO",45,2.8
"NK, EO",45,0.1
"NK, EO",45,0
"NK, EO",45,2.7
"NK, EO",45,2.8
"NK, EO",45,0.9
